10.5 hours sleep,bacon,8.5 hours sleep,slept 7 hours,birth control,Magnesium glycinate,5-htp,Nasonex,Claritin,busy,9 hours sleep,Strattera,8 hours sleep,siracha,Famotidine,Vitamin b complex,therapy session,Astelin,Daytime nap,Vitamin C,slept 11 hours,Allegra,Klonopin,Singulair,Fish oil,CoQ10,Vitamin b12,Zinc,Vitamin d,popcorn,Melatonin,row
2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Famotidine
2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Vitamin b complex
2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,therapy session
2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Astelin
0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,Daytime nap
2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Vitamin C
0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,slept 11 hours
2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Allegra
2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Klonopin
2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Singulair
2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,Fish oil
2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,CoQ10
2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,Vitamin b12
2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,Zinc
2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,Vitamin d
0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,popcorn
2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,Melatonin
